Section,XPath,Source_Code,Source_CodeSystem_OID,Source_Vocabulary,Source_DisplayName,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain_ID,OMOP_Vocabulary_ID,Is_Standard,Mapping_Status
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration/consumable/manufacturedProduct/manufacturedMaterial/code,617320,2.16.840.1.113883.6.88,RxNorm,Atorvastatin 40 MG Oral Tablet,19123593,atorvastatin 40 MG Oral Tablet [Lipitor],Drug,RxNorm,true,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration/routeCode,C38288,2.16.840.1.113883.3.26.1.1,,ORAL,0,,,,false,no_vocab
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration/consumable/manufacturedProduct/manufacturedMaterial/code,243670,2.16.840.1.113883.6.88,RxNorm,Aspirin 81 MG Oral Tablet,19059056,aspirin 81 MG Oral Tablet,Drug,RxNorm,true,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration/routeCode,C38288,2.16.840.1.113883.3.26.1.1,,ORAL,0,,,,false,no_vocab
Immunizations,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.2.1']/entry/substanceAdministration/consumable/manufacturedProduct/manufacturedMaterial/code,88,2.16.840.1.113883.12.292,CVX,Influenza virus vaccine,2000000001,"influenza virus vaccine, unspecified formulation",Drug,CVX,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,2947-0,2.16.840.1.113883.6.1,LOINC,Na,3000285,Sodium [Moles/volume] in Blood,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,6298-4,2.16.840.1.113883.6.1,LOINC,K,3005456,Potassium [Moles/volume] in Blood,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,2069-3,2.16.840.1.113883.6.1,LOINC,Cl,3018572,Chloride [Moles/volume] in Blood,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,2028-9,2.16.840.1.113883.6.1,LOINC,CO2,3015632,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,6299-2,2.16.840.1.113883.6.1,LOINC,BUN,3004295,Urea nitrogen [Mass/volume] in Blood,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,38483-4,2.16.840.1.113883.6.1,LOINC,Cr,3051825,Creatinine [Mass/volume] in Blood,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,2339-0,2.16.840.1.113883.6.1,LOINC,Glu,3000483,Glucose [Mass/volume] in Blood,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,6598-7,2.16.840.1.113883.6.1,LOINC,Troponin T,3019800,Troponin T.cardiac [Mass/volume] in Serum or Plasma,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,6598-7,2.16.840.1.113883.6.1,LOINC,Troponin T,3019800,Troponin T.cardiac [Mass/volume] in Serum or Plasma,Measurement,LOINC,true,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation/participant/participantRole/playingEntity/code,7982,2.16.840.1.113883.6.88,RxNorm,Penicillin G benzathine,19130393,penicillin G benzathine,Drug,RxNorm,false,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation/entryRelationship/observation[templateId/@root='2.16.840.1.113883.10.20.22.4.9']/value,247472004,2.16.840.1.113883.6.96,SNOMED,Hives,4082588,Wheal,Condition,SNOMED,true,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation/entryRelationship/observation[templateId/@root='2.16.840.1.113883.10.20.22.4.9']/value,422587007,2.16.840.1.113883.6.96,SNOMED,Nausea,31967,Nausea,Condition,SNOMED,true,mapped
SocialHistory,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.17']/entry/observation/code,ASSERTION,2.16.840.1.113883.5.4,,Assertion,0,,,,false,no_vocab
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation/value,59621000,2.16.840.1.113883.6.96,SNOMED,Hypertension,320128,Essential hypertension,Condition,SNOMED,true,mapped
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation/value,233604007,2.16.840.1.113883.6.96,SNOMED,Pneumonia,255848,Pneumonia,Condition,SNOMED,true,mapped
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation/value,195967001,2.16.840.1.113883.6.96,SNOMED,Asthma,317009,Asthma,Condition,SNOMED,true,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration/consumable/manufacturedProduct/manufacturedMaterial/code,141962,2.16.840.1.113883.6.88,RxNorm,Azithromycin,1734107,azithromycin 250 MG Oral Capsule,Drug,RxNorm,true,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration/routeCode,C38288,2.16.840.1.113883.3.26.1.1,,ORAL,0,,,,false,no_vocab
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration/consumable/manufacturedProduct/manufacturedMaterial/code,202908,2.16.840.1.113883.6.88,RxNorm,Proventil 0.09 MG/ACTUAT metered dose,19044357,Proventil,Drug,RxNorm,false,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration/routeCode,C38216,2.16.840.1.113883.3.26.1.1,,RESPIRATORY (INHALATION),0,,,,false,no_vocab
Immunizations,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.2.1']/entry/substanceAdministration/consumable/manufacturedProduct/manufacturedMaterial/code,88,2.16.840.1.113883.12.292,CVX,Influenza virus vaccine,2000000001,"influenza virus vaccine, unspecified formulation",Drug,CVX,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,30313-1,2.16.840.1.113883.6.1,LOINC,HGB,3002173,Hemoglobin [Mass/volume] in Arterial blood,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,20570-8,2.16.840.1.113883.6.1,LOINC,HCT,3009542,Hematocrit [Volume Fraction] of Blood,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,33765-9,2.16.840.1.113883.6.1,LOINC,WBC,3028866,Leukocytes [#/volume] in Blood Product unit.platelet pheresis by Automated count,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,26515-7,2.16.840.1.113883.6.1,LOINC,PLT,3007461,Platelets [#/volume] in Blood,Measurement,LOINC,true,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation/participant/participantRole/playingEntity/code,7982,2.16.840.1.113883.6.88,RxNorm,Penicillin G benzathine,19130393,penicillin G benzathine,Drug,RxNorm,false,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation/entryRelationship/observation[templateId/@root='2.16.840.1.113883.10.20.22.4.9']/value,247472004,2.16.840.1.113883.6.96,SNOMED,Hives,4082588,Wheal,Condition,SNOMED,true,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation/entryRelationship/observation[templateId/@root='2.16.840.1.113883.10.20.22.4.9']/value,241937000,2.16.840.1.113883.6.96,SNOMED,Drug Induced Anaphylaxis,4084168,Drug-induced anaphylaxis,Observation,SNOMED,true,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation/participant/participantRole/playingEntity/code,1191,2.16.840.1.113883.6.88,RxNorm,Aspirin,1112807,aspirin,Drug,RxNorm,true,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation/entryRelationship/observation[templateId/@root='2.16.840.1.113883.10.20.22.4.9']/value,65124004,2.16.840.1.113883.6.96,SNOMED,Swelling,4275722,Swelling,Condition,SNOMED,true,mapped
SocialHistory,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.17']/entry/observation/code,ASSERTION,2.16.840.1.113883.5.4,,Assertion,0,,,,false,no_vocab
SocialHistory,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.17']/entry/observation/code,ASSERTION,2.16.840.1.113883.5.4,,Assertion,0,,,,false,no_vocab
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation/value,95891005,2.16.840.1.113883.6.96,SNOMED,Flu-like illness,4319159,Influenza-like illness,Condition,SNOMED,true,mapped
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation/value,195967001,2.16.840.1.113883.6.96,SNOMED,Asthma,317009,Asthma,Condition,SNOMED,true,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration/consumable/manufacturedProduct/manufacturedMaterial/code,728111,2.16.840.1.113883.6.88,RxNorm,Oseltamivir 30 MG Oral Capsule,1799158,oseltamivir 30 MG Oral Capsule [Tamiflu],Drug,RxNorm,true,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration/consumable/manufacturedProduct/manufacturedMaterial/code,202908,2.16.840.1.113883.6.88,RxNorm,Proventil 0.09 MG/ ACTUAT metered dose,19044357,Proventil,Drug,RxNorm,false,mapped
Immunizations,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.2.1']/entry/substanceAdministration/consumable/manufacturedProduct/manufacturedMaterial/code,03,2.16.840.1.113883.12.292,CVX,MMR,2000000011,"measles, mumps, rubella virus vaccine",Drug,CVX,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,30313-1,2.16.840.1.113883.6.1,LOINC,HGB,3002173,Hemoglobin [Mass/volume] in Arterial blood,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,20570-8,2.16.840.1.113883.6.1,LOINC,HCT,3009542,Hematocrit [Volume Fraction] of Blood,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,33765-9,2.16.840.1.113883.6.1,LOINC,WBC,3028866,Leukocytes [#/volume] in Blood Product unit.platelet pheresis by Automated count,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,26515-7,2.16.840.1.113883.6.1,LOINC,PLT,3007461,Platelets [#/volume] in Blood,Measurement,LOINC,true,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation/participant/participantRole/playingEntity/code,7982,2.16.840.1.113883.6.88,RxNorm,Penicillin G benzathine,19130393,penicillin G benzathine,Drug,RxNorm,false,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation/entryRelationship/observation[templateId/@root='2.16.840.1.113883.10.20.22.4.9']/value,247472004,2.16.840.1.113883.6.96,SNOMED,Hives,4082588,Wheal,Condition,SNOMED,true,mapped
SocialHistory,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.17']/entry/observation/code,ASSERTION,2.16.840.1.113883.5.4,,Assertion,0,,,,false,no_vocab
SocialHistory,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.17']/entry/observation/code,ASSERTION,2.16.840.1.113883.5.4,,Assertion,0,,,,false,no_vocab
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation/value,363746003,2.16.840.1.113883.6.96,SNOMED,Hypertension,25297,Acute pharyngitis,Condition,SNOMED,true,mapped
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation/value,48440001,2.16.840.1.113883.6.96,SNOMED,Gout,74892,Articular gout,Condition,SNOMED,true,mapped
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation/value,195967001,2.16.840.1.113883.6.96,SNOMED,Type II DIabetes,317009,Asthma,Condition,SNOMED,true,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration/consumable/manufacturedProduct/manufacturedMaterial/code,258395,2.16.840.1.113883.6.88,RxNorm,Lisinopril,0,,,,false,unmapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration/consumable/manufacturedProduct/manufacturedMaterial/code,197319,2.16.840.1.113883.6.88,RxNorm,Allopurinol 200 MG Oral Tablet,1167323,allopurinol 100 MG Oral Tablet,Drug,RxNorm,true,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration/consumable/manufacturedProduct/manufacturedMaterial/code,197517,2.16.840.1.113883.6.88,RxNorm,Clarithromycin 250 MG Oral Tablet,1750562,clarithromycin 500 MG Oral Tablet,Drug,RxNorm,true,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration/consumable/manufacturedProduct/manufacturedMaterial/code,860978,2.16.840.1.113883.6.88,RxNorm,Metformin 850 MG Oral Tablet,40164925,metformin hydrochloride 500 MG Extended Release Oral Tablet,Drug,RxNorm,true,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration/routeCode,C38288,2.16.840.1.113883.3.26.1.1,,ORAL,0,,,,false,no_vocab
Immunizations,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.2.1']/entry/substanceAdministration/consumable/manufacturedProduct/manufacturedMaterial/code,09,2.16.840.1.113883.12.292,CVX,"Td (adult), adsorbed",0,,,,false,unmapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,30313-1,2.16.840.1.113883.6.1,LOINC,HGB,3002173,Hemoglobin [Mass/volume] in Arterial blood,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,20570-8,2.16.840.1.113883.6.1,LOINC,HCT,3009542,Hematocrit [Volume Fraction] of Blood,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,33765-9,2.16.840.1.113883.6.1,LOINC,WBC,3028866,Leukocytes [#/volume] in Blood Product unit.platelet pheresis by Automated count,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,26515-7,2.16.840.1.113883.6.1,LOINC,PLT,3007461,Platelets [#/volume] in Blood,Measurement,LOINC,true,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation/participant/participantRole/playingEntity/code,7982,2.16.840.1.113883.6.88,RxNorm,Penicillin G benzathine,19130393,penicillin G benzathine,Drug,RxNorm,false,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation/entryRelationship/observation[templateId/@root='2.16.840.1.113883.10.20.22.4.9']/value,247472004,2.16.840.1.113883.6.96,SNOMED,Hives,4082588,Wheal,Condition,SNOMED,true,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation/entryRelationship/observation[templateId/@root='2.16.840.1.113883.10.20.22.4.9']/value,241937000,2.16.840.1.113883.6.96,SNOMED,Drug Induced Anaphylaxis,4084168,Drug-induced anaphylaxis,Observation,SNOMED,true,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation/participant/participantRole/playingEntity/code,1191,2.16.840.1.113883.6.88,RxNorm,Aspirin,1112807,aspirin,Drug,RxNorm,true,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation/entryRelationship/observation[templateId/@root='2.16.840.1.113883.10.20.22.4.9']/value,65124004,2.16.840.1.113883.6.96,SNOMED,Swelling,4275722,Swelling,Condition,SNOMED,true,mapped
SocialHistory,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.17']/entry/observation/code,ASSERTION,2.16.840.1.113883.5.4,,Assertion,0,,,,false,no_vocab
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation/value,195967001,2.16.840.1.113883.6.96,SNOMED,Asthma,317009,Asthma,Condition,SNOMED,true,mapped
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation/value,26929004,2.16.840.1.113883.6.96,SNOMED,Alzheimer disease,378419,Alzheimer's disease,Condition,SNOMED,true,mapped
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation/value,195967001,2.16.840.1.113883.6.96,SNOMED,Type II DIabetes,317009,Asthma,Condition,SNOMED,true,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration/consumable/manufacturedProduct/manufacturedMaterial/code,197517,2.16.840.1.113883.6.88,RxNorm,Clarithromycin 250 MG Oral Tablet,1750562,clarithromycin 500 MG Oral Tablet,Drug,RxNorm,true,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration/consumable/manufacturedProduct/manufacturedMaterial/code,573621,2.16.840.1.113883.6.88,RxNorm,Albuterol 0.09 MG/ ACTUAT metered dose,19044359,albuterol 0.09 MG/ACTUAT [Proventil],Drug,RxNorm,true,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration/consumable/manufacturedProduct/manufacturedMaterial/code,860978,2.16.840.1.113883.6.88,RxNorm,Metformin 850 MG Oral Tablet,40164925,metformin hydrochloride 500 MG Extended Release Oral Tablet,Drug,RxNorm,true,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration/routeCode,C38288,2.16.840.1.113883.3.26.1.1,,ORAL,0,,,,false,no_vocab
Immunizations,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.2.1']/entry/substanceAdministration/consumable/manufacturedProduct/manufacturedMaterial/code,88,2.16.840.1.113883.12.292,CVX,Influenza virus vaccine,2000000001,"influenza virus vaccine, unspecified formulation",Drug,CVX,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,30313-1,2.16.840.1.113883.6.1,LOINC,HGB,3002173,Hemoglobin [Mass/volume] in Arterial blood,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,20570-8,2.16.840.1.113883.6.1,LOINC,HCT,3009542,Hematocrit [Volume Fraction] of Blood,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation/code,33765-9,2.16.840.1.113883.6.1,LOINC,WBC,3028866,Leukocytes [#/volume] in Blood Product unit.platelet pheresis by Automated count,Measurement,LOINC,true,mapped
