Section,XPath,Source_Code,Source_CodeSystem_OID,Source_Vocabulary,Source_DisplayName,OMOP_Concept_ID,OMOP_Concept_Name,OMOP_Domain_ID,OMOP_Vocabulary_ID,Is_Standard,Mapping_Status
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation[1]/value[1],233604007,2.16.840.1.113883.6.96,SNOMED,Pneumonia,255848,Pneumonia,Condition,SNOMED,true,mapped
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation[2]/value[1],29857009,2.16.840.1.113883.6.96,SNOMED,Chest pain,77670,Chest pain,Condition,SNOMED,true,mapped
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation[3]/value[1],194828000,2.16.840.1.113883.6.96,SNOMED,Angina,321318,Angina pectoris,Condition,SNOMED,true,mapped
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation[4]/value[1],233604007,2.16.840.1.113883.6.96,SNOMED,Pneumonia,255848,Pneumonia,Condition,SNOMED,true,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration[1]/consumable/manufacturedProduct/manufacturedMaterial/code[1],573621,2.16.840.1.113883.6.88,RxNorm,Proventil 0.09 MG/ACTUAT inhalant solution,19044359,albuterol 0.09 MG/ACTUAT [Proventil],Drug,RxNorm,true,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration[1]/routeCode[1],C38216,2.16.840.1.113883.3.26.1.1,,RESPIRATORY (INHALATION),0,,,,false,no_vocab
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration[2]/consumable/manufacturedProduct/manufacturedMaterial/code[1],197380,2.16.840.1.113883.6.88,RxNorm,Atenolol 25 MG Oral Tablet,19018811,atenolol 25 MG Oral Tablet,Drug,RxNorm,true,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration[2]/routeCode[1],C38288,2.16.840.1.113883.3.26.1.1,,ORAL,0,,,,false,no_vocab
Immunizations,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.2.1']/entry/substanceAdministration[1]/consumable/manufacturedProduct/manufacturedMaterial/code[1],88,2.16.840.1.113883.6.59,,Influenza virus vaccine,0,,,,false,no_vocab
Immunizations,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.2.1']/entry/substanceAdministration[2]/consumable/manufacturedProduct/manufacturedMaterial/code[1],88,2.16.840.1.113883.6.59,,Influenza virus vaccine,0,,,,false,no_vocab
Immunizations,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.2.1']/entry/substanceAdministration[3]/consumable/manufacturedProduct/manufacturedMaterial/code[1],33,2.16.840.1.113883.6.59,,Pneumococcal polysaccharide vaccine,0,,,,false,no_vocab
Immunizations,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.2.1']/entry/substanceAdministration[4]/consumable/manufacturedProduct/manufacturedMaterial/code[1],103,2.16.840.1.113883.6.59,,Tetanus and diphtheria toxoids - preservative free,0,,,,false,no_vocab
Immunizations,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.2.1']/entry/substanceAdministration[5]/consumable/manufacturedProduct/manufacturedMaterial/code[1],45,2.16.840.1.113883.6.59,,Hepatitis B vaccine,0,,,,false,no_vocab
Procedures,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.7.1']/entry/procedure[1]/code[1],73761001,2.16.840.1.113883.6.96,SNOMED,Colonoscopy,4249893,Colonoscopy,Procedure,SNOMED,true,mapped
VitalSigns,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.4.1']/entry/organizer/component/observation[1]/code[1],8302-2,2.16.840.1.113883.6.1,LOINC,Height,3036277,Body height,Measurement,LOINC,true,mapped
VitalSigns,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.4.1']/entry/organizer/component/observation[2]/code[1],3141-9,2.16.840.1.113883.6.1,LOINC,Patient Body Weight - Measured,3013762,Body weight Measured,Measurement,LOINC,true,mapped
VitalSigns,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.4.1']/entry/organizer/component/observation[3]/code[1],8480-6,2.16.840.1.113883.6.1,LOINC,Intravascular Systolic,3004249,Systolic blood pressure,Measurement,LOINC,true,mapped
VitalSigns,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.4.1']/entry/organizer/component/observation[4]/code[1],8462-4,2.16.840.1.113883.6.1,LOINC,BP Diastolic,3012888,Diastolic blood pressure,Measurement,LOINC,true,mapped
VitalSigns,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.4.1']/entry/organizer/component/observation[5]/code[1],8302-2,2.16.840.1.113883.6.1,LOINC,Height,3036277,Body height,Measurement,LOINC,true,mapped
VitalSigns,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.4.1']/entry/organizer/component/observation[6]/code[1],3141-9,2.16.840.1.113883.6.1,LOINC,Patient Body Weight - Measured,3013762,Body weight Measured,Measurement,LOINC,true,mapped
VitalSigns,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.4.1']/entry/organizer/component/observation[7]/code[1],8480-6,2.16.840.1.113883.6.1,LOINC,BP Systolic,3004249,Systolic blood pressure,Measurement,LOINC,true,mapped
VitalSigns,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.4.1']/entry/organizer/component/observation[8]/code[1],8462-4,2.16.840.1.113883.6.1,LOINC,BP Diastolic,3012888,Diastolic blood pressure,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation[1]/code[1],718-7,2.16.840.1.113883.6.1,LOINC,Hemoglobin,3000963,Hemoglobin [Mass/volume] in Blood,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation[2]/code[1],6690-2,2.16.840.1.113883.6.1,LOINC,Leukocytes,3000905,Leukocytes [#/volume] in Blood by Automated count,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation[3]/code[1],777-3,2.16.840.1.113883.6.1,LOINC,Platelets,3024929,Platelets [#/volume] in Blood by Automated count,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation[4]/code[1],4544-3,2.16.840.1.113883.6.1,LOINC,Hematocrit,3023314,Hematocrit [Volume Fraction] of Blood by Automated count,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation[5]/code[1],789-8,2.16.840.1.113883.6.1,LOINC,Erythrocytes,3020416,Erythrocytes [#/volume] in Blood by Automated count,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation[6]/code[1],3094-0,2.16.840.1.113883.6.1,LOINC,"Urea nitrogen, Serum",3013682,Urea nitrogen [Mass/volume] in Serum or Plasma,Measurement,LOINC,true,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation[1]/participant/participantRole/playingEntity/code[1],70618,2.16.840.1.113883.6.88,RxNorm,Penicillin,0,,,,false,unmapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation[1]/entryRelationship/observation[templateId/@root='2.16.840.1.113883.10.20.22.4.9']/value[1],422587007,2.16.840.1.113883.6.96,SNOMED,Nausea,31967,Nausea,Condition,SNOMED,true,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation[2]/participant/participantRole/playingEntity/code[1],2670,2.16.840.1.113883.6.88,RxNorm,Codeine,1201620,codeine,Drug,RxNorm,true,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation[2]/entryRelationship/observation[templateId/@root='2.16.840.1.113883.10.20.22.4.9']/value[1],56018004,2.16.840.1.113883.6.96,SNOMED,Wheezing,314754,Wheezing,Condition,SNOMED,true,mapped
SocialHistory,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.17']/entry/observation[1]/code[1],72166-2,2.16.840.1.113883.6.1,LOINC,Tobacco smoking status NHIS,43054909,Tobacco smoking status,Observation,LOINC,true,mapped
SocialHistory,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.17']/entry/observation[2]/code[1],11367-0,2.16.840.1.113883.6.1,LOINC,History of tobacco use,3012697,History of Tobacco use,Observation,LOINC,true,mapped
SocialHistory,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.17']/entry/observation[3]/code[1],74013-4,2.16.840.1.113883.6.1,LOINC,Alcoholic drinks per day,44786671,Alcoholic drinks per day,Observation,LOINC,true,mapped
MedicalEquipment,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.23']/entry[1]/.//participant/participantRole/playingDevice/code[1],14106009,2.16.840.1.113883.6.96,SNOMED,"cardiac pacemaker, device (physical object)",4030875,Cardiac pacemaker,Device,SNOMED,true,mapped
MedicalEquipment,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.23']/entry[1]/.//participant/participantRole/playingDevice/code[2],303406003,2.16.840.1.113883.6.96,SNOMED,upper gastrointestinal prosthesis (physical object),4123620,Upper gastrointestinal prosthesis,Device,SNOMED,true,mapped
MedicalEquipment,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.23']/entry[2]/.//participant/participantRole/playingDevice/code[1],87405001,2.16.840.1.113883.6.96,SNOMED,cane,4337514,Cane,Observation,SNOMED,false,mapped
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation[1]/value[1],233604007,2.16.840.1.113883.6.96,SNOMED,Pneumonia,255848,Pneumonia,Condition,SNOMED,true,mapped
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation[2]/value[1],29857009,2.16.840.1.113883.6.96,SNOMED,Chest pain,77670,Chest pain,Condition,SNOMED,true,mapped
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation[3]/value[1],194828000,2.16.840.1.113883.6.96,SNOMED,Angina,321318,Angina pectoris,Condition,SNOMED,true,mapped
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation[4]/value[1],233604007,2.16.840.1.113883.6.96,SNOMED,Pneumonia,255848,Pneumonia,Condition,SNOMED,true,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration[1]/consumable/manufacturedProduct/manufacturedMaterial/code[1],573621,2.16.840.1.113883.6.88,RxNorm,Proventil 0.09 MG/ACTUAT inhalant solution,19044359,albuterol 0.09 MG/ACTUAT [Proventil],Drug,RxNorm,true,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration[1]/routeCode[1],C38216,2.16.840.1.113883.3.26.1.1,,RESPIRATORY (INHALATION),0,,,,false,no_vocab
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration[2]/consumable/manufacturedProduct/manufacturedMaterial/code[1],197380,2.16.840.1.113883.6.88,RxNorm,Atenolol 25 MG Oral Tablet,19018811,atenolol 25 MG Oral Tablet,Drug,RxNorm,true,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration[2]/routeCode[1],C38288,2.16.840.1.113883.3.26.1.1,,ORAL,0,,,,false,no_vocab
Immunizations,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.2.1']/entry/substanceAdministration[1]/consumable/manufacturedProduct/manufacturedMaterial/code[1],88,2.16.840.1.113883.6.59,,Influenza virus vaccine,0,,,,false,no_vocab
Immunizations,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.2.1']/entry/substanceAdministration[2]/consumable/manufacturedProduct/manufacturedMaterial/code[1],88,2.16.840.1.113883.6.59,,Influenza virus vaccine,0,,,,false,no_vocab
Immunizations,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.2.1']/entry/substanceAdministration[3]/consumable/manufacturedProduct/manufacturedMaterial/code[1],33,2.16.840.1.113883.6.59,,Pneumococcal polysaccharide vaccine,0,,,,false,no_vocab
Immunizations,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.2.1']/entry/substanceAdministration[4]/consumable/manufacturedProduct/manufacturedMaterial/code[1],103,2.16.840.1.113883.6.59,,Tetanus and diphtheria toxoids - preservative free,0,,,,false,no_vocab
Immunizations,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.2.1']/entry/substanceAdministration[5]/consumable/manufacturedProduct/manufacturedMaterial/code[1],45,2.16.840.1.113883.6.59,,Hepatitis B vaccine,0,,,,false,no_vocab
Procedures,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.7.1']/entry/procedure[1]/code[1],73761001,2.16.840.1.113883.6.96,SNOMED,Colonoscopy,4249893,Colonoscopy,Procedure,SNOMED,true,mapped
VitalSigns,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.4.1']/entry/organizer/component/observation[1]/code[1],8302-2,2.16.840.1.113883.6.1,LOINC,Height,3036277,Body height,Measurement,LOINC,true,mapped
VitalSigns,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.4.1']/entry/organizer/component/observation[2]/code[1],3141-9,2.16.840.1.113883.6.1,LOINC,Patient Body Weight - Measured,3013762,Body weight Measured,Measurement,LOINC,true,mapped
VitalSigns,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.4.1']/entry/organizer/component/observation[3]/code[1],8480-6,2.16.840.1.113883.6.1,LOINC,Intravascular Systolic,3004249,Systolic blood pressure,Measurement,LOINC,true,mapped
VitalSigns,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.4.1']/entry/organizer/component/observation[4]/code[1],8462-4,2.16.840.1.113883.6.1,LOINC,BP Diastolic,3012888,Diastolic blood pressure,Measurement,LOINC,true,mapped
VitalSigns,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.4.1']/entry/organizer/component/observation[5]/code[1],8302-2,2.16.840.1.113883.6.1,LOINC,Height,3036277,Body height,Measurement,LOINC,true,mapped
VitalSigns,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.4.1']/entry/organizer/component/observation[6]/code[1],3141-9,2.16.840.1.113883.6.1,LOINC,Patient Body Weight - Measured,3013762,Body weight Measured,Measurement,LOINC,true,mapped
VitalSigns,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.4.1']/entry/organizer/component/observation[7]/code[1],8480-6,2.16.840.1.113883.6.1,LOINC,BP Systolic,3004249,Systolic blood pressure,Measurement,LOINC,true,mapped
VitalSigns,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.4.1']/entry/organizer/component/observation[8]/code[1],8462-4,2.16.840.1.113883.6.1,LOINC,BP Diastolic,3012888,Diastolic blood pressure,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation[1]/code[1],718-7,2.16.840.1.113883.6.1,LOINC,Hemoglobin,3000963,Hemoglobin [Mass/volume] in Blood,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation[2]/code[1],6690-2,2.16.840.1.113883.6.1,LOINC,Leukocytes,3000905,Leukocytes [#/volume] in Blood by Automated count,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation[3]/code[1],777-3,2.16.840.1.113883.6.1,LOINC,Platelets,3024929,Platelets [#/volume] in Blood by Automated count,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation[4]/code[1],4544-3,2.16.840.1.113883.6.1,LOINC,Hematocrit,3023314,Hematocrit [Volume Fraction] of Blood by Automated count,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation[5]/code[1],789-8,2.16.840.1.113883.6.1,LOINC,Erythrocytes,3020416,Erythrocytes [#/volume] in Blood by Automated count,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation[6]/code[1],95971004,2.16.840.1.113883.6.96,SNOMED,"Urea nitrogen, Serum",4320959,Urea nitrogen,Drug,SNOMED,false,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation[1]/participant/participantRole/playingEntity/code[1],70618,2.16.840.1.113883.6.88,RxNorm,Penicillin,0,,,,false,unmapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation[1]/entryRelationship/observation[templateId/@root='2.16.840.1.113883.10.20.22.4.9']/value[1],422587007,2.16.840.1.113883.6.96,SNOMED,Nausea,31967,Nausea,Condition,SNOMED,true,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation[2]/participant/participantRole/playingEntity/code[1],2670,2.16.840.1.113883.6.88,RxNorm,Codeine,1201620,codeine,Drug,RxNorm,true,mapped
Allergies,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.6.1']/entry/act/entryRelationship/observation[2]/entryRelationship/observation[templateId/@root='2.16.840.1.113883.10.20.22.4.9']/value[1],56018004,2.16.840.1.113883.6.96,SNOMED,Wheezing,314754,Wheezing,Condition,SNOMED,true,mapped
SocialHistory,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.17']/entry/observation[1]/code[1],72166-2,2.16.840.1.113883.6.1,LOINC,Tobacco smoking status NHIS,43054909,Tobacco smoking status,Observation,LOINC,true,mapped
SocialHistory,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.17']/entry/observation[2]/code[1],11367-0,2.16.840.1.113883.6.1,LOINC,History of tobacco use,3012697,History of Tobacco use,Observation,LOINC,true,mapped
SocialHistory,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.17']/entry/observation[3]/code[1],74013-4,2.16.840.1.113883.6.1,LOINC,Alcoholic drinks per day,44786671,Alcoholic drinks per day,Observation,LOINC,true,mapped
MedicalEquipment,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.23']/entry[1]/.//participant/participantRole/playingDevice/code[1],14106009,2.16.840.1.113883.6.96,SNOMED,"cardiac pacemaker, device (physical object)",4030875,Cardiac pacemaker,Device,SNOMED,true,mapped
MedicalEquipment,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.23']/entry[1]/.//participant/participantRole/playingDevice/code[2],303406003,2.16.840.1.113883.6.96,SNOMED,upper gastrointestinal prosthesis (physical object),4123620,Upper gastrointestinal prosthesis,Device,SNOMED,true,mapped
MedicalEquipment,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.23']/entry[2]/.//participant/participantRole/playingDevice/code[1],87405001,2.16.840.1.113883.6.96,SNOMED,cane,4337514,Cane,Observation,SNOMED,false,mapped
Problems,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.5.1']/entry/act/entryRelationship/observation[1]/value[1],396275006,2.16.840.1.113883.6.96,SNOMED,Osteoarthritis,80180,Osteoarthritis,Condition,SNOMED,true,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration[1]/consumable/manufacturedProduct/manufacturedMaterial/code[1],198440,2.16.840.1.113883.6.88,RxNorm,acetaminophen 500 mg oral tablet,19020053,acetaminophen 500 MG Oral Tablet,Drug,RxNorm,true,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration[1]/routeCode[1],C38288,2.16.840.1.113883.3.26.1.1,,Oral,0,,,,false,no_vocab
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration[2]/consumable/manufacturedProduct/manufacturedMaterial/code[1],309090,2.16.840.1.113883.6.88,RxNorm,cefTRIAXone 100 mg/ml injectable solution,19074975,ceftriaxone 100 MG/ML Injectable Solution,Drug,RxNorm,true,mapped
Medications,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.1.1']/entry/substanceAdministration[3]/consumable/manufacturedProduct/manufacturedMaterial/code[1],731227,2.16.840.1.113883.6.88,RxNorm,Aranesp 40 MCG per 0.4 ML Prefilled Syringe,1304794,0.4 ML darbepoetin alfa 0.1 MG/ML Prefilled Syringe [Aranesp],Drug,RxNorm,true,mapped
Immunizations,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.2.1']/entry/substanceAdministration[1]/consumable/manufacturedProduct/manufacturedMaterial/code[1],106,2.16.840.1.113883.12.292,CVX,"diphtheria, tetanus toxoids and acellular pertussis vaccine, 5 pertussis antigens",0,,,,false,unmapped
Immunizations,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.2.1']/entry/substanceAdministration[2]/consumable/manufacturedProduct/manufacturedMaterial/code[1],88,2.16.840.1.113883.12.292,CVX,"influenza virus vaccine, unspecified formulation",0,,,,false,unmapped
Immunizations,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.2.1']/entry/substanceAdministration[3]/consumable/manufacturedProduct/manufacturedMaterial/code[1],166,2.16.840.1.113883.12.292,CVX,"influenza, intradermal, quadrivalent, preservative free, injectable",0,,,,false,unmapped
Procedures,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.7.1']/entry/procedure[1]/code[1],239311006,2.16.840.1.113883.6.96,SNOMED,,4343560,Osteotomy of distal femur,Procedure,SNOMED,true,mapped
VitalSigns,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.4.1']/entry/organizer/component/observation[1]/code[1],8480-6,2.16.840.1.113883.6.1,LOINC,SYSTOLIC BLOOD PRESSURE,3004249,Systolic blood pressure,Measurement,LOINC,true,mapped
VitalSigns,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.4.1']/entry/organizer/component/observation[2]/code[1],8462-4,2.16.840.1.113883.6.1,LOINC,DIASTOLIC BLOOD PRESSURE,3012888,Diastolic blood pressure,Measurement,LOINC,true,mapped
VitalSigns,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.4.1']/entry/organizer/component/observation[3]/code[1],29463-7,2.16.840.1.113883.6.1,LOINC,Body weight,3025315,Body weight,Measurement,LOINC,true,mapped
LabResults,//component/section[templateId/@root='2.16.840.1.113883.10.20.22.2.3.1']/entry/organizer/component/observation[1]/code[1],718-7,2.16.840.1.113883.6.1,LOINC,Hemoglobin,3000963,Hemoglobin [Mass/volume] in Blood,Measurement,LOINC,true,mapped
